name;description;exc;trade;;;;
CC359-1;HIK Thermal PT 50mm - IR 150M Dual Lens;103719.00;119276.85;DS-2TD4137-50/W;;;
CC360;Thermal Dual Lens Eco Bullet Cam - 7mm;6797.00;7816.55;DS-2TD2628-7/QA;;;
CC360-1;Thermal Dual Lens Eco Bullet Cam - 10mm;7166.00;8240.90;DS-2TD2628-10/QA;;;
CC361;Thermal Dual Lens Eco Dome Camera - 3mm;6610.00;7601.50;DS-2TD1228-3/QA;;;
CC361-1;Thermal Dual Lens Eco Dome Camera - 7mm;6610.00;7601.50;DS-2TD1228-7/QA;;;
CC361-2;Hik Dual Lens Turret Cam - 3mm;6291.00;7234.65;DS-2TD1217-3/QA;;;
;;;;;;;
CC198;HIK Dome Wall Mount Brkt for IP VF Domes;257.00;295.55;DS-1273ZJ-135;;;
CC198-3;HIK Fisheye Pendant Brkt for CC428 Only;435.00;500.25;DS-1271ZJ-DM25;;;
CC198-4;HIK Fisheye Junction Box for CC428 Only;163.00;187.45;DS-1280ZJ-DM25;;;
CC198-5;HIK Dome Wall Mount Brkt for Mini-Domes;281.00;323.15;DS-1272ZJ-120;;;
CC198-6;HIK Dome Wall Mnt Brkt & Box for VF Dome;398.00;457.70;DS-1273ZJ-135B;;;
CC198-9;HIK Wall Mount Bracket for VF Dome White;516.00;593.40;DS-1473ZJ-155;;;
CC198-10;HIK Wall Mount Bracket for IP Domes;258.00;296.70;DS-1272ZJ-110;;;
CC198-11;HIK Mini Dome Junction Box White;328.00;377.20;DS-1280ZJ-DM22;;;
CC198-12;HIK Junction Box Camera Bracket - White;305.00;350.75;DS-1280ZJ-S;;;
CC198-13;HIK Junction Box Camera Bracket White;205.00;235.75;DS-1280ZJ-XS;;;
CC198-14;HIK Junction Box Dome Cam Bracket White;172.00;197.80;DS-1280ZJ-DM21;;;
CC198-15;HIK Cam Bracket Power Box  for CC409-2;230.00;282.90;DS-1260ZJ;;;
CC198-16;Wall mount bracket PanoVu Mini Series In;264.00;303.60;DS-1294ZJ-TRL;;;
CA21;SP Uni Cam Mnt Enclose 115x115x48mm;39.00;44.85;;;;
CA21-1;SP L Uni Cam Mnt Enclose 161x161x48mm Wh;59.00;67.85;;;;
CA21-5;SP Enclose Blk Uni Cam Mnt 115x115x48mm;39.00;44.85;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
CC466-2;HIKVISION Camera PTZ 2MP 25 x OZ IR 50m;8763.00;10077.45;;DS-2DE4A225IW-DE;;
